PlayerId,Name,Team,Age,G,PA,AB,H,BB,HBP,HR,R,RBI,SB,OBP,SLG,wOBA,wRC+,WAR
18401,Ronald Acuña Jr.,ATL,25,158,734,642,217,80,9,41,149,106,73,0.416893732,0.596573208,0.428109547,170.6260232,8.283322075
13611,Mookie Betts,LAD,30,151,689,581,178,95,8,39,126,107,14,0.407837445,0.580034423,0.416546278,166.5808617,8.187309878
5361,Freddie Freeman,LAD,33,160,725,633,211,72,15,29,131,102,23,0.411034482,0.570300157,0.412373916,163.7861193,7.92185001
19755,Shohei Ohtani,LAA,28,135,599,497,151,91,3,44,102,95,20,0.412457912,0.653923541,0.4333881,179.5377184,6.619087604
14344,Matt Olson,ATL,29,161,719,607,171,104,4,54,127,137,1,0.388038942,0.602965403,0.412011913,159.8434633,6.617924223
12533,Marcus Semien,TEX,32,161,749,666,185,72,5,29,122,100,14,0.350267379,0.48048048,0.356072422,125.566718,6.307487911
13624,Corey Seager,TEX,29,118,532,473,156,49,4,33,88,96,2,0.392857142,0.627906976,0.421706965,171.0804215,6.145881854
23697,Julio Rodríguez,SEA,22,154,711,651,180,47,11,32,102,103,37,0.334739803,0.486943164,0.348875727,127.03603,5.955749994
25878,Corbin Carroll,ARI,22,155,645,565,161,57,13,25,116,76,54,0.361502347,0.50619469,0.37021638,132.9117398,5.908656252
12916,Francisco Lindor,NYM,29,159,684,600,153,65,12,31,108,98,31,0.336257309,0.471666666,0.3459728,121.4554321,5.889489627
25764,Bobby Witt Jr.,KCR,23,157,690,637,175,40,4,30,96,96,49,0.317851959,0.491365777,0.341667676,113.6287568,5.727855766
20123,Juan Soto,SDP,24,161,707,568,156,131,2,35,97,109,12,0.409348441,0.519366197,0.394384334,154.6168109,5.526733906
20503,William Contreras,MIL,25,140,608,538,156,62,5,17,85,78,5,0.36738056,0.459107806,0.357870326,124.5824329,5.421438783
15640,Aaron Judge,NYY,31,106,458,367,98,88,0,37,79,75,3,0.406113537,0.613079019,0.420276848,174.4525459,5.214080324
13510,José Ramírez,CLE,30,155,687,607,171,73,1,24,87,80,28,0.356622998,0.476112026,0.346535626,123.3582167,5.210705159
18360,Austin Riley,ATL,26,158,710,631,177,59,9,37,116,97,3,0.345070422,0.515055467,0.362215953,126.4890024,5.156468444
26288,Adley Rutschman,BAL,25,153,683,585,162,91,2,20,84,79,1,0.373352855,0.435897435,0.351348517,126.8308493,5.001218093
18314,Dansby Swanson,CHC,29,147,638,565,138,66,5,22,81,80,9,0.327586206,0.415929203,0.324583769,103.6057101,4.977910864
20043,Luis Robert Jr.,CHW,25,145,595,546,144,30,12,38,90,80,20,0.315254237,0.542124542,0.358041615,128.1203996,4.970077308
18345,Kyle Tucker,HOU,26,156,669,570,161,80,3,29,95,111,30,0.36858006,0.512280701,0.370459687,138.6723763,4.921416356
15491,J.P. Crawford,SEA,28,144,635,531,142,94,5,19,94,65,2,0.381329113,0.440677966,0.360692029,135.2299421,4.909697309
19287,Adolis García,TEX,30,147,629,552,135,65,6,39,108,107,9,0.327503974,0.509057971,0.354376761,124.3908766,4.873699566
26289,Gunnar Henderson,BAL,22,149,618,557,143,55,3,28,100,82,10,0.325242718,0.491921005,0.34679952,123.6763867,4.773748538
16578,Yandy Díaz,TBR,31,137,600,525,173,65,8,22,95,78,0,0.41,0.521904761,0.401676965,163.9175881,4.697119766
21534,Cal Raleigh,SEA,26,144,566,510,119,54,1,30,78,75,0,0.307420494,0.458823529,0.32785085,112.4565117,4.672158587
21479,Nico Hoerner,CHC,26,150,688,619,175,49,14,9,98,68,43,0.34643377,0.382875605,0.322096097,101.9394114,4.658000674
23667,Wander Franco,TBR,22,112,491,442,124,42,3,17,65,58,30,0.344195519,0.475113122,0.348808204,127.2562055,4.542261523
19556,Yordan Alvarez,HOU,26,113,492,407,119,68,13,31,76,97,0,0.406504065,0.584766584,0.415585306,169.9643448,4.484129546
27506,Ha-Seong Kim,SDP,27,151,621,534,140,75,3,17,84,59,38,0.353896103,0.400749063,0.332655086,113.2691632,4.444209251
12927,Brandon Nimmo,NYM,30,152,682,592,162,74,11,24,89,68,3,0.362701908,0.466216216,0.358725777,129.9976648,4.408718087
12161,Xander Bogaerts,SDP,30,154,663,594,169,56,7,19,83,58,19,0.349924585,0.439393939,0.342462025,119.8380731,4.400384717
19709,Fernando Tatis Jr.,SDP,24,140,634,574,148,53,3,25,91,78,29,0.322274881,0.449477351,0.332207192,112.9691539,4.339810118
20036,Isaac Paredes,TBR,24,142,566,489,122,56,20,31,69,98,1,0.349823321,0.486707566,0.360779622,135.5576815,4.325974673
19522,TJ Friedl,CIN,27,138,556,488,136,47,10,18,73,66,27,0.352189781,0.467213114,0.352640008,116.2883978,4.2964605
24770,James Outman,LAD,26,150,563,480,119,67,12,23,85,69,15,0.351687388,0.4375,0.343899171,117.9201852,4.270786758
19197,Will Smith,LAD,28,125,549,460,119,63,14,19,79,76,3,0.35701275,0.436956521,0.343474009,117.6354017,4.249641349
19352,Sean Murphy,ATL,28,108,438,370,93,49,18,21,65,68,0,0.365296803,0.478378378,0.366112397,129.0989286,4.192374938
13613,Ketel Marte,ARI,29,150,650,569,157,71,5,25,94,82,8,0.358461538,0.485061511,0.360767936,126.5829579,4.161621148
17678,Alex Bregman,HOU,29,160,720,618,161,92,8,24,101,96,3,0.3625,0.432038834,0.348099965,123.1672215,4.104527508
15998,Cody Bellinger,CHC,27,130,556,499,153,40,5,26,95,97,20,0.356115107,0.5250501,0.370149333,134.1265563,4.103182751
16930,Jonah Heim,TEX,28,130,498,454,117,40,1,18,61,95,2,0.317269076,0.438325991,0.323998213,103.3251369,4.069191278
5417,Jose Altuve,HOU,33,89,406,356,111,44,5,17,75,51,14,0.394088669,0.525280898,0.394612556,155.4209738,4.062596604
16556,Ozzie Albies,ATL,26,147,655,593,165,44,8,33,93,109,13,0.332312404,0.512647554,0.356204367,122.4623059,3.995843203
11477,Christian Yelich,MIL,31,143,629,548,152,77,3,19,105,76,27,0.368839427,0.447080291,0.352550745,121.0192572,3.990062358
19599,Chas McCormick,HOU,28,114,453,399,110,40,11,22,59,70,19,0.35619469,0.493734335,0.365180524,135.0115866,3.978772319
25931,Michael Harris II,ATL,22,137,534,500,146,25,5,18,76,55,20,0.330206378,0.476,0.343904789,114.2237701,3.883548864
16426,Thairo Estrada,SFG,27,119,526,492,134,22,10,14,63,49,23,0.315589353,0.418699186,0.317287294,101.4207639,3.858007153
16252,Trea Turner,PHI,30,155,691,639,170,45,6,26,102,76,30,0.319826338,0.458528951,0.333100557,107.7460687,3.839154333
13419,Christian Walker,ARI,32,157,661,582,150,62,8,33,86,103,11,0.333333333,0.496563573,0.350976788,120.0246253,3.8347779
19612,Bo Bichette,TOR,25,134,596,567,174,26,2,20,68,73,5,0.338926174,0.472663139,0.348513923,124.206895,3.77832275
19953,Josh Lowe,TBR,25,134,497,462,135,31,1,20,70,82,32,0.336016096,0.5,0.354304737,131.0677284,3.695379621
19950,Andrés Giménez,CLE,24,153,616,557,140,32,20,15,76,62,30,0.31372549,0.398563734,0.309094503,97.3949957,3.677904347
26294,Bryson Stott,PHI,25,150,635,581,161,38,7,15,77,61,31,0.324921135,0.414802065,0.319567573,98.68137002,3.658154692
9218,Paul Goldschmidt,STL,35,154,687,593,159,87,3,25,89,80,11,0.36297376,0.446880269,0.350109618,121.9906218,3.582788655
17919,Ian Happ,CHC,28,158,691,580,144,99,6,21,86,84,14,0.360347322,0.431034482,0.345219516,117.4280004,3.494847268
11493,Manny Machado,SDP,30,138,601,543,140,50,2,30,75,91,3,0.319467554,0.462246777,0.33383738,114.0610904,3.4688032
16505,Matt Chapman,TOR,30,140,581,509,122,62,8,17,66,54,4,0.330464716,0.424361493,0.328323715,110.2061705,3.432537616
18568,Luis Arraez,MIA,26,147,617,574,203,35,4,10,71,69,3,0.392857142,0.468641114,0.368882854,131.9032621,3.406933929
19290,Randy Arozarena,TBR,28,151,654,551,140,80,18,23,95,83,22,0.363914373,0.424682395,0.346540534,125.6837094,3.362903218
15986,Willy Adames,MIL,27,148,635,551,119,70,6,24,73,80,5,0.308056872,0.406533575,0.31033269,92.74064798,3.35562609
16997,Gleyber Torres,NYY,26,158,672,596,163,67,3,25,90,68,13,0.34672619,0.453020134,0.345460463,122.5717741,3.350545816
21454,Lars Nootbaar,STL,25,116,499,422,111,72,1,14,74,46,11,0.369477911,0.421800947,0.346932611,119.8625906,3.345558415
